at_least_one	at_least_two	at_least_three
0.0071	0.0	0.0
0.0026	0.0	0.0
0.0258	0.0	0.0
0.05	0.021	0.0095
0.2158	0.1538	0.1357
0.0609	0.0192	0.0064
0.0526	0.0	0.0
0.125	0.0828	0.0601
0.3621	0.2063	0.1111
0.0994	0.0693	0.0602
0.0439	0.0252	0.0183
0.0168	0.0	0.0
0.0956	0.0032	0.0
0.281	0.1671	0.1133
0.0305	0.0213	0.0137
0.009	0.0023	0.0023
0.0595	0.0	0.0
0.2092	0.0916	0.0285
0.044	0.0067	0.0
0.2356	0.1466	0.0977
0.0744	0.0439	0.0206
0.046	0.0	0.0
0.112	0.048	0.016
0.1213	0.0545	0.0161
0.3075	0.2119	0.165
0.125	0.0562	0.0219
0.0132	0.0	0.0
0.0453	0.0147	0.0074
0.2278	0.1566	0.125
0.0256	0.0	0.0
0.0316	0.0	0.0
0.1034	0.0577	0.0505
0.0204	0.0	0.0
0.3111	0.2111	0.1694
0.0131	0.0008	0.0
0.2105	0.1889	0.158
0.3067	0.2133	0.1533
0.0799	0.0	0.0
0.1703	0.1099	0.0962
0.0081	0.0	0.0
0.0165	0.0041	0.001
0.0118	0.0	0.0
0.0	0.0	0.0
0.0196	0.0	0.0
0.0306	0.0	0.0
0.0506	0.0	0.0
0.0975	0.0445	0.0275
0.0103	0.0009	0.0
0.0525	0.011	0.0026
0.3669	0.205	0.086
0.0083	0.0	0.0
0.0763	0.0195	0.0065
0.0231	0.0	0.0
0.0294	0.0	0.0
0.0273	0.0011	0.0
0.2022	0.067	0.0161
0.6392	0.6329	0.6234
0.1994	0.1241	0.0805
0.0	0.0	0.0
0.0637	0.0212	0.0057
0.0933	0.0014	0.0
0.0565	0.0253	0.0149
0.0253	0.0084	0.0084
0.2019	0.0288	0.0
0.5247	0.4099	0.3529
0.3137	0.2049	0.1493
0.1366	0.0648	0.0324
0.0685	0.0	0.0
0.0612	0.0	0.0
0.0734	0.0298	0.0079
0.1127	0.0676	0.0512
0.0788	0.0383	0.0225
0.2667	0.1843	0.1422
0.2812	0.1779	0.1262
0.0801	0.0036	0.0
0.0016	0.0	0.0
0.0179	0.0	0.0
0.0133	0.0	0.0
0.1108	0.068	0.0506
0.4201	0.3071	0.246
0.008	0.0011	0.0
0.2563	0.1341	0.0607
0.1818	0.0938	0.0473
0.6883	0.6167	0.5483
0.0047	0.0	0.0
0.072	0.0	0.0
0.0375	0.0022	0.0
0.1567	0.0833	0.0633
0.267	0.196	0.1477
0.0086	0.0	0.0
0.002	0.0	0.0
0.1179	0.0224	0.0041
0.0132	0.001	0.0
0.219	0.136	0.106
0.0021	0.0	0.0
0.0321	0.0229	0.0172
0.3382	0.326	0.324
0.0822	0.0559	0.0362
0.0344	0.0	0.0
0.0766	0.0038	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0111	0.0	0.0
0.0233	0.0	0.0
0.016	0.0	0.0
0.0452	0.0234	0.0101
0.071	0.048	0.032
0.0224	0.0032	0.0
0.0793	0.015	0.0028
0.0343	0.0009	0.0
0.1218	0.044	0.0129
0.0169	0.0	0.0
0.1005	0.0566	0.0291
0.2306	0.1492	0.1221
0.1117	0.0012	0.0
0.1278	0.0953	0.0739
0.015	0.0	0.0
0.1239	0.0353	0.005
0.0988	0.0581	0.0291
0.0075	0.0	0.0
0.0932	0.0625	0.0471
0.0285	0.0099	0.0022
0.0015	0.0	0.0
0.3182	0.2029	0.125
0.102	0.0656	0.055
0.0413	0.0	0.0
0.0047	0.0	0.0
0.0	0.0	0.0
0.0158	0.0006	0.0
0.8819	0.8159	0.7692
0.0272	0.0	0.0
0.0102	0.0	0.0
0.4898	0.0765	0.0
0.0206	0.0009	0.0
0.117	0.0559	0.0372
0.2597	0.2349	0.2026
0.3109	0.2516	0.2171
0.096	0.0368	0.0145
0.0191	0.0	0.0
0.0219	0.0029	0.0
0.0008	0.0	0.0
0.2018	0.125	0.0943
0.0252	0.0032	0.0
0.1394	0.0675	0.0431
0.0053	0.0	0.0
0.0478	0.0112	0.0018
0.0309	0.0	0.0
0.0423	0.0024	0.0
0.0767	0.0	0.0
0.015	0.0	0.0
0.0969	0.0406	0.0156
0.2711	0.115	0.0489
0.0	0.0	0.0
0.0151	0.0	0.0
0.0046	0.0	0.0
0.5879	0.4592	0.3787
0.0485	0.017	0.0036
0.0024	0.0	0.0
0.0308	0.0	0.0
0.0467	0.0033	0.0
0.0161	0.003	0.002
0.0045	0.0	0.0
0.098	0.078	0.062
0.0196	0.0049	0.0008
0.1153	0.0633	0.0408
0.1063	0.0311	0.0053
0.3181	0.0558	0.0018
0.0602	0.0201	0.0015
0.1441	0.1098	0.0794
0.0242	0.0	0.0
0.0998	0.0676	0.0488
0.0	0.0	0.0
0.0789	0.0392	0.0229
0.1759	0.0937	0.0523
0.1258	0.0536	0.0187
0.0171	0.0	0.0
0.0201	0.0	0.0
0.0031	0.0	0.0
0.5593	0.4253	0.3582
0.0041	0.0	0.0
0.4917	0.3646	0.2594
0.0882	0.0049	0.0
0.0279	0.0086	0.0027
0.0181	0.003	0.0
0.072	0.0364	0.0205
0.0	0.0	0.0
0.024	0.004	0.0004
0.1112	0.0381	0.0057
0.0004	0.0	0.0
0.4029	0.3103	0.2456
0.0338	0.0206	0.0171
0.0235	0.0032	0.0
0.2796	0.1086	0.0526
0.1105	0.0	0.0
0.3468	0.2573	0.1927
0.4272	0.3349	0.2836
0.1849	0.0294	0.0008
0.3963	0.2664	0.2028
0.0192	0.0	0.0
0.0	0.0	0.0
0.0174	0.0	0.0
0.0133	0.0061	0.0031
0.0317	0.0	0.0
0.0026	0.0	0.0
0.0014	0.0	0.0
0.2105	0.0395	0.0026
0.0606	0.0063	0.0013
0.1316	0.0855	0.0643
0.4264	0.3148	0.2401
0.1657	0.0286	0.0015
0.005	0.0	0.0
0.0	0.0	0.0
0.4339	0.0952	0.0012
0.2463	0.1698	0.1333
0.0532	0.0255	0.0162
0.0139	0.0041	0.0016
0.0159	0.0	0.0
0.3375	0.2208	0.1569
0.0019	0.0	0.0
0.1446	0.0862	0.05
0.1045	0.05	0.0227
0.1998	0.1335	0.0984
0.0151	0.0	0.0
0.0	0.0	0.0
0.0017	0.0	0.0
0.1188	0.0625	0.0299
0.0345	0.0086	0.0
0.0455	0.0165	0.0074
0.1247	0.0222	0.0006
0.2586	0.2524	0.2516
0.1895	0.0591	0.0108
0.0312	0.0	0.0
0.1366	0.0	0.0
0.0071	0.0	0.0
0.2622	0.1515	0.0852
0.293	0.1987	0.1481
0.0632	0.0122	0.0
0.275	0.1417	0.0691
0.0478	0.0156	0.0089
0.1997	0.1242	0.0771
0.0211	0.0	0.0
0.0007	0.0	0.0
0.0	0.0	0.0
0.4418	0.3253	0.2429
0.0029	0.0	0.0
0.112	0.0658	0.0291
0.0058	0.0007	0.0
0.0046	0.0	0.0
0.1089	0.0262	0.0
0.002	0.0	0.0
0.1777	0.1397	0.1215
0.2865	0.1944	0.1429
0.2841	0.128	0.0364
0.0473	0.0	0.0
0.0901	0.0262	0.0048
0.0861	0.007	0.0
0.0743	0.0149	0.0
0.0288	0.0155	0.0111
0.125	0.0833	0.0639
0.0106	0.0	0.0
0.0056	0.0	0.0
0.0	0.0	0.0
0.05	0.0256	0.015
0.0482	0.0	0.0
0.0	0.0	0.0
0.0183	0.0054	0.0022
0.0033	0.0	0.0
0.5083	0.3946	0.3285
0.0094	0.0	0.0
0.0467	0.0056	0.0
0.0012	0.0	0.0
0.6474	0.5878	0.5311
0.125	0.0521	0.0286
0.0413	0.0	0.0
0.0528	0.0201	0.0126
0.5	0.3848	0.3343
0.0054	0.0	0.0
0.1681	0.0973	0.0664
0.3128	0.2028	0.15
0.0647	0.0312	0.0179
0.0127	0.0063	0.0032
0.3832	0.2731	0.2283
0.1176	0.0704	0.0519
0.0732	0.0268	0.0109
0.1263	0.1008	0.078
0.2633	0.1533	0.1076
0.1089	0.0619	0.0408
0.0074	0.0	0.0
0.0643	0.0227	0.0071
0.0033	0.0	0.0
0.4316	0.3211	0.2526
0.0	0.0	0.0
0.0011	0.0	0.0
0.008	0.0014	0.0
0.07	0.0	0.0
0.0522	0.0164	0.0047
0.0309	0.0004	0.0
0.0139	0.0	0.0
0.0	0.0	0.0
0.0086	0.0	0.0
0.1111	0.0472	0.025
0.0009	0.0	0.0
0.0074	0.0	0.0
0.0431	0.0	0.0
0.0162	0.0049	0.0
0.0171	0.0005	0.0
0.0163	0.0041	0.0014
0.0201	0.0	0.0
0.1761	0.0954	0.0578
0.0211	0.0105	0.0039
0.1165	0.0059	0.0
0.0022	0.0	0.0
0.0509	0.0	0.0
0.0206	0.0019	0.0
0.1402	0.0826	0.0523
0.0448	0.0	0.0
0.0876	0.0	0.0
0.0151	0.0	0.0
0.0016	0.0	0.0
0.0526	0.0284	0.0199
0.0013	0.0	0.0
0.3632	0.2382	0.1368
0.1681	0.1037	0.0777
0.0129	0.0	0.0
0.0	0.0	0.0
0.0719	0.0074	0.0008
0.0064	0.0	0.0
0.0106	0.0	0.0
0.0341	0.0	0.0
0.1602	0.1043	0.0742
0.0404	0.0051	0.0
0.9307	0.9097	0.8834
0.1752	0.0934	0.0512
0.0014	0.0	0.0
0.2004	0.0618	0.0122
0.2093	0.1169	0.0709
0.0962	0.0321	0.0071
0.1	0.0729	0.0531
0.0335	0.0048	0.0
0.0328	0.0	0.0
0.0159	0.0	0.0
0.0377	0.0047	0.0012
0.3383	0.2378	0.1712
0.0294	0.0176	0.0118
0.0654	0.0197	0.0045
0.1346	0.0206	0.0014
0.049	0.0206	0.0026
0.0927	0.0365	0.0309
0.0325	0.0	0.0
0.0935	0.0305	0.0081
0.265	0.15	0.0875
0.0057	0.0	0.0
0.0303	0.0184	0.013
0.074	0.0395	0.0164
0.0333	0.0	0.0
0.0843	0.0315	0.0061
0.2932	0.2233	0.1918
0.03	0.0194	0.0129
0.0	0.0	0.0
0.0	0.0	0.0
0.0293	0.0	0.0
0.0	0.0	0.0
0.0208	0.0046	0.0023
0.025	0.0028	0.0
0.0376	0.0196	0.0139
0.0208	0.0005	0.0
0.0025	0.0	0.0
0.4032	0.3046	0.2532
0.1077	0.0971	0.0851
0.004	0.0	0.0
0.0	0.0	0.0
0.015	0.0	0.0
0.0148	0.0095	0.0042
0.0128	0.0	0.0
0.1988	0.0023	0.0
0.0972	0.0197	0.0011
0.0172	0.0	0.0
0.058	0.0078	0.0
0.1425	0.0753	0.0591
0.0017	0.0	0.0
0.0137	0.0	0.0
0.1605	0.0389	0.0047
0.1683	0.101	0.0553
0.0372	0.0034	0.0
0.2227	0.1149	0.0617
0.2857	0.1939	0.1658
0.0044	0.0	0.0
0.1314	0.0395	0.0013
0.1839	0.0431	0.0029
0.0066	0.0	0.0
0.004	0.0	0.0
0.0373	0.0	0.0
0.0478	0.0282	0.0208
0.1144	0.0	0.0
0.5278	0.4316	0.3725
0.0333	0.0033	0.0
0.1651	0.095	0.0561
0.0277	0.0033	0.0
0.0616	0.0029	0.0
0.058	0.0308	0.0263
0.2024	0.0779	0.013
0.65	0.5891	0.534
0.0905	0.0536	0.0399
0.0	0.0	0.0
0.0989	0.0457	0.0183
0.1843	0.0614	0.0169
0.043	0.0045	0.0005
0.0383	0.0219	0.0123
0.026	0.0146	0.0115
0.029	0.0	0.0
0.0037	0.0	0.0
0.0346	0.0106	0.0106
0.0875	0.0281	0.0062
0.1183	0.08	0.06
0.0253	0.0	0.0
0.1982	0.1028	0.0623
0.004	0.0	0.0
0.3117	0.234	0.187
0.2295	0.0738	0.0113
0.0234	0.0	0.0
0.1206	0.0132	0.0
0.0253	0.0028	0.0
0.0064	0.0	0.0
0.0162	0.0	0.0
0.4167	0.3086	0.2377
0.0737	0.0317	0.0158
0.087	0.0269	0.0095
0.0011	0.0	0.0
0.4621	0.3527	0.2344
0.4125	0.275	0.1969
0.0208	0.0	0.0
0.034	0.0	0.0
0.5275	0.3956	0.3214
0.3093	0.2225	0.1684
0.0481	0.0024	0.0
0.0392	0.0027	0.0
0.09	0.07	0.0629
0.2692	0.1915	0.1492
0.0138	0.0	0.0
0.9016	0.7492	0.49
0.216	0.0752	0.0121
0.0049	0.0	0.0
0.0219	0.0	0.0
0.222	0.0786	0.0192
0.3556	0.2414	0.1573
0.2875	0.1625	0.0906
0.3349	0.2232	0.1667
0.0913	0.0022	0.0
0.6085	0.469	0.3129
0.047	0.0	0.0
0.0117	0.0	0.0
0.0233	0.0032	0.0
0.0101	0.0	0.0
0.1949	0.1182	0.0854
0.0069	0.0	0.0
0.0	0.0	0.0
0.2477	0.1111	0.0312
0.0201	0.0	0.0
0.1357	0.0357	0.0024
0.0527	0.0377	0.0168
0.1775	0.1467	0.1277
0.0038	0.0	0.0
0.5559	0.4559	0.3812
0.0139	0.0	0.0
0.0586	0.0	0.0
0.0874	0.0073	0.0
0.0413	0.0	0.0
0.1462	0.0886	0.0587
0.0584	0.0009	0.0
0.0	0.0	0.0
0.0132	0.0	0.0
0.1607	0.0447	0.004
0.0876	0.0575	0.0388
0.125	0.013	0.0
0.1278	0.0597	0.0426
0.0224	0.0061	0.001
0.0768	0.0	0.0
0.241	0.1228	0.0591
0.0481	0.0288	0.0096
0.1554	0.0851	0.043
0.0062	0.0	0.0
0.4541	0.3373	0.277
0.0906	0.0594	0.0438
0.1139	0.0232	0.0044
0.0028	0.0	0.0
0.0	0.0	0.0
0.0004	0.0	0.0
0.0817	0.0429	0.0286
0.0554	0.0438	0.0348
0.1098	0.0706	0.05
0.0577	0.0	0.0
0.0706	0.0	0.0
0.0087	0.0	0.0
0.0108	0.005	0.0008
0.049	0.0209	0.0143
0.0255	0.014	0.0089
0.1421	0.1008	0.073
0.1137	0.0843	0.0714
0.0297	0.0051	0.001
0.076	0.0221	0.0054
0.0583	0.0333	0.0194
0.0384	0.0192	0.0099
0.0651	0.0	0.0
0.0679	0.0408	0.019
0.0165	0.0	0.0
0.0071	0.0	0.0
0.3669	0.2628	0.2066
0.071	0.03	0.01
